crowd_count,hour,day,service_time,waiting_time
66,18,5,1.5668633261562042,103.41297952630947
11,8,3,2.1679349695430346,23.84728466497338
20,16,0,1.6975195531673477,33.950391063346956
45,19,6,2.644125564543467,118.98565040445601
32,10,6,2.9681684849361645,94.98139151795726
70,19,6,1.6200941654166985,113.40659157916889
28,8,5,2.0543093505669985,57.520661815875954
55,17,5,2.2755333863733656,125.15433625053511
12,15,4,2.385354601191616,28.624255214299392
63,18,6,2.324841996266497,146.46504576478932
49,14,4,2.910609590501449,142.619869934571
41,12,0,1.7145388584328545,70.29609319574703
46,16,6,1.6697844292188357,76.81008374406645
42,12,0,2.9735386603307,124.8886237338894
55,18,4,2.1785918725715336,119.82255299143435
14,16,4,2.504097311732664,35.057362364257294
14,15,1,1.7662926139263995,24.728096594969593
28,19,4,2.566240892286694,71.85474498402743
51,18,3,2.3253092200746526,118.59077022380728
17,15,4,1.5598984818232047,26.51827419099448
56,12,2,2.4527606651745457,137.35459724977457
27,18,2,1.6125577520449457,43.539059305213534
54,12,6,1.966603926576842,106.19661203514947
54,19,5,2.9028035703889996,156.75139280100598
21,8,1,2.692852151721312,56.54989518614756
57,17,1,2.1631640756628103,123.30035231278019
11,9,2,2.646236847847355,29.108605326320905
32,10,6,1.9896511224441644,63.66883591821326
40,18,1,2.8839556627417364,115.35822650966946
54,17,0,1.6014970276976195,86.48083949567145
21,9,1,1.6750775807386182,35.17662919551098
44,19,2,2.062386182086948,90.7449920118257
33,9,5,2.3698727079858783,78.20579936353398
70,12,6,2.6690831599357483,186.83582119550238
76,12,6,1.946447082134219,147.92997824220063
67,14,5,2.9587376470175704,198.2354223501772
31,15,6,1.801430823842482,55.84435553911695
23,8,2,2.982706790988703,68.60225619274017
60,17,5,2.9116013267261502,174.69607960356902
17,9,3,2.5522034991371108,43.38745948533088
40,13,3,1.6253384823340866,65.01353929336346
13,8,2,2.883240969616811,37.48213260501854
46,19,4,2.5658880563072226,118.03085059013225
5,15,2,1.9700623840555813,9.850311920277907
43,16,5,2.0502109224411225,88.15906966496827
7,10,1,1.7547161990233435,12.283013393163404
15,9,4,2.695414644364502,40.43121966546753
39,17,2,2.6868845066634615,104.78849575987499
44,17,4,1.8133862552838762,79.78899523249055
8,9,4,2.6241319363871973,20.99305549109758
22,16,1,2.2943024252577846,50.474653355671265
56,14,6,2.9564630246522956,165.56192938052857
